동별,인구수(계),인구수(남),인구수(여),세대수,데이터기준일자
부평1동,34809,16671,18138,17196,2025-01-31
부평2동,15326,7594,7732,7793,2025-01-31
부평3동,14889,7379,7510,7381,2025-01-31
부평4동,33475,16530,16945,17750,2025-01-31
부평5동,33137,16287,16850,16357,2025-01-31
부평6동,17339,8527,8812,8469,2025-01-31
산곡1동,14753,7265,7488,6476,2025-01-31
산곡2동,29107,14264,14843,10680,2025-01-31
산곡3동,20016,9659,10357,8521,2025-01-31
산곡4동,16457,7828,8629,6558,2025-01-31
청천1동,22557,11446,11111,9678,2025-01-31
청천2동,32868,16385,16483,14441,2025-01-31
갈산1동,14299,7264,7035,6669,2025-01-31
갈산2동,17320,8347,8973,8059,2025-01-31
삼산1동,31979,15654,16325,14144,2025-01-31
삼산2동,27290,13133,14157,10234,2025-01-31
부개1동,15149,7565,7584,7662,2025-01-31
부개2동,18864,9168,9696,8266,2025-01-31
부개3동,27936,13325,14611,12055,2025-01-31
일신동,11486,5783,5703,5018,2025-01-31
십정1동,24100,12019,12081,11047,2025-01-31
십정2동,20697,10726,9971,11099,2025-01-31
